mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Dim+Pej	gimitigwaabi1ensish

X+mtigwaap+NA+Con+Pej	imitigwaabi1enyish

X+mtigwaap+NA+Dim+Pej	imitigwaabi1ensish

1+mtigwaap+NA+Con+1+Pl	nimitigwaabi1enynaan
1+mtigwaap+NA+Con+1+Pl	nimitigwaabi1enynaa

1+mtigwaap+NA+Dim+1+Pl	nimitigwaabi1ensnaan
1+mtigwaap+NA+Dim+1+Pl	nimitigwaabi1ensnaa

2+mtigwaap+NA+Con+1+Pl	gimitigwaabi1enynaan
2+mtigwaap+NA+Con+1+Pl	gimitigwaabi1enynaa

2+mtigwaap+NA+Con+2+Pl	gimitigwaabi1enywaa

2+mtigwaap+NA+Dim+1+Pl	gimitigwaabi1ensnaan
2+mtigwaap+NA+Dim+1+Pl	gimitigwaabi1ensnaa

2+mtigwaap+NA+Dim+2+Pl	gimitigwaabi1enswaa

3+mtigwaap+NA+Con+3+4	omitigwaabi1enyniw

3+mtigwaap+NA+Dim+3+4	omitigwaabi1ensniw

1+mtigwaap+NA+Con+Prt	nimitigwaabi1enyiban
1+mtigwaap+NA+Con+Prt	nimitigwaabi1enyiba

1+mtigwaap+NA+Con+Voc+Pl	nimitigwaabi1enydig

1+mtigwaap+NA+Dim+Prt	nimitigwaabi1ensiban
1+mtigwaap+NA+Dim+Prt	nimitigwaabi1ensiba

1+mtigwaap+NA+Dim+Voc+Pl	nimitigwaabi1ensdig

2+mtigwaap+NA+Con+Prt	gimitigwaabi1enyiban
2+mtigwaap+NA+Con+Prt	gimitigwaabi1enyiba

2+mtigwaap+NA+Con+Voc+Pl	gimitigwaabi1enydig

2+mtigwaap+NA+Dim+Prt	gimitigwaabi1ensiban
2+mtigwaap+NA+Dim+Prt	gimitigwaabi1ensiba

2+mtigwaap+NA+Dim+Voc+Pl	gimitigwaabi1ensdig

X+mtigwaap+NA+Con+Prt	imitigwaabi1enyiban
X+mtigwaap+NA+Con+Prt	imitigwaabi1enyiba

X+mtigwaap+NA+Con+Voc+Pl	imitigwaabi1enydig

X+mtigwaap+NA+Dim+Prt	imitigwaabi1ensiban
X+mtigwaap+NA+Dim+Prt	imitigwaabi1ensiba

X+mtigwaap+NA+Dim+Voc+Pl	imitigwaabi1ensdig

1+mtigwaap+NA+Con+4	nimitigwaabi1enyin

1+mtigwaap+NA+Con+Loc	nimitigwaabi1enying

1+mtigwaap+NA+Con+Pl	nimitigwaabi1enyag

1+mtigwaap+NA+Dim+4	nimitigwaabi1ensan

1+mtigwaap+NA+Dim+Loc	nimitigwaabi1ensing

1+mtigwaap+NA+Dim+Pl	nimitigwaabi1ensag

2+mtigwaap+NA+Con+4	gimitigwaabi1enyin

2+mtigwaap+NA+Con+Loc	gimitigwaabi1enying

2+mtigwaap+NA+Con+Pl	gimitigwaabi1enyag

2+mtigwaap+NA+Dim+4	gimitigwaabi1ensan

2+mtigwaap+NA+Dim+Loc	gimitigwaabi1ensing

2+mtigwaap+NA+Dim+Pl	gimitigwaabi1ensag

3+mtigwaap+NA+Con+4	omitigwaabi1enyin

3+mtigwaap+NA+Con+Loc	omitigwaabi1enying

3+mtigwaap+NA+Dim+4	omitigwaabi1ensan

3+mtigwaap+NA+Dim+Loc	omitigwaabi1ensing

X+mtigwaap+NA+Con+4	imitigwaabi1enyin

X+mtigwaap+NA+Con+Loc	imitigwaabi1enying

X+mtigwaap+NA+Con+Pl	imitigwaabi1enyag

X+mtigwaap+NA+Dim+4	imitigwaabi1ensan

X+mtigwaap+NA+Dim+Loc	imitigwaabi1ensing

X+mtigwaap+NA+Dim+Pl	imitigwaabi1ensag

1+mtigwaap+NA+ThmPos+Pej	nimitigwaabi1mish

2+mtigwaap+NA+ThmPos+Pej	gimitigwaabi1mish

X+mtigwaap+NA+ThmPos+Pej	imitigwaabi1mish

1+mtigwaap+NA+ThmPos+1+Pl	nimitigwaabi1mnaan
1+mtigwaap+NA+ThmPos+1+Pl	nimitigwaabi1mnaa

2+mtigwaap+NA+ThmPos+1+Pl	gimitigwaabi1mnaan
2+mtigwaap+NA+ThmPos+1+Pl	gimitigwaabi1mnaa

2+mtigwaap+NA+ThmPos+2+Pl	gimitigwaabi1mwaa

3+mtigwaap+NA+ThmPos+3+4	omitigwaabi1mniw

1+mtigwaap+NA+ThmPos+Prt	nimitigwaabi1miban
1+mtigwaap+NA+ThmPos+Prt	nimitigwaabi1miba

1+mtigwaap+NA+ThmPos+Voc+Pl	nimitigwaabi1mdig

2+mtigwaap+NA+ThmPos+Prt	gimitigwaabi1miban
2+mtigwaap+NA+ThmPos+Prt	gimitigwaabi1miba

2+mtigwaap+NA+ThmPos+Voc+Pl	gimitigwaabi1mdig

X+mtigwaap+NA+ThmPos+Prt	imitigwaabi1miban
X+mtigwaap+NA+ThmPos+Prt	imitigwaabi1miba

X+mtigwaap+NA+ThmPos+Voc+Pl	imitigwaabi1mdig

1+mtigwaap+NA+ThmPos+4	nimitigwaabi1man

1+mtigwaap+NA+ThmPos+Loc	nimitigwaabi1ming

1+mtigwaap+NA+ThmPos+Pl	nimitigwaabi1mag

2+mtigwaap+NA+ThmPos+4	gimitigwaabi1man

2+mtigwaap+NA+ThmPos+Loc	gimitigwaabi1ming

2+mtigwaap+NA+ThmPos+Pl	gimitigwaabi1mag

3+mtigwaap+NA+ThmPos+4	omitigwaabi1man

3+mtigwaap+NA+ThmPos+Loc	omitigwaabi1ming

X+mtigwaap+NA+ThmPos+4	imitigwaabi1man

X+mtigwaap+NA+ThmPos+Loc	imitigwaabi1ming

X+mtigwaap+NA+ThmPos+Pl	imitigwaabi1mag

1+mtigwaap+NA+Pej+1+Pl	nimitigwaabi1shnaan
1+mtigwaap+NA+Pej+1+Pl	nimitigwaabi1shnaa

2+mtigwaap+NA+Pej+1+Pl	gimitigwaabi1shnaan
2+mtigwaap+NA+Pej+1+Pl	gimitigwaabi1shnaa

2+mtigwaap+NA+Pej+2+Pl	gimitigwaabi1shwaa

3+mtigwaap+NA+Pej+3+4	omitigwaabi1shniw

1+mtigwaap+NA+Pej+Prt	nimitigwaabi1shiban
1+mtigwaap+NA+Pej+Prt	nimitigwaabi1shiba

1+mtigwaap+NA+Pej+Voc+Pl	nimitigwaabi1shdig

2+mtigwaap+NA+Pej+Prt	gimitigwaabi1shiban
2+mtigwaap+NA+Pej+Prt	gimitigwaabi1shiba

2+mtigwaap+NA+Pej+Voc+Pl	gimitigwaabi1shdig

X+mtigwaap+NA+Pej+Prt	imitigwaabi1shiban
X+mtigwaap+NA+Pej+Prt	imitigwaabi1shiba

X+mtigwaap+NA+Pej+Voc+Pl	imitigwaabi1shdig

1+mtigwaap+NA+Pej+4	nimitigwaabi1shan

1+mtigwaap+NA+Pej+Loc	nimitigwaabi1shing

1+mtigwaap+NA+Pej+Pl	nimitigwaabi1shag

2+mtigwaap+NA+Pej+4	gimitigwaabi1shan

2+mtigwaap+NA+Pej+Loc	gimitigwaabi1shing

2+mtigwaap+NA+Pej+Pl	gimitigwaabi1shag

3+mtigwaap+NA+Pej+4	omitigwaabi1shan

3+mtigwaap+NA+Pej+Loc	omitigwaabi1shing

X+mtigwaap+NA+Pej+4	imitigwaabi1shan

X+mtigwaap+NA+Pej+Loc	imitigwaabi1shing

X+mtigwaap+NA+Pej+Pl	imitigwaabi1shag

1+mtigwaap+NA+1+Pl+Prt	nimitigwaabi1naaniban
1+mtigwaap+NA+1+Pl+Prt	nimitigwaabi1naaniba

1+mtigwaap+NA+1+Pl+Voc+Pl	nimitigwaabi1naany1dig

2+mtigwaap+NA+1+Pl+Prt	gimitigwaabi1naaniban
2+mtigwaap+NA+1+Pl+Prt	gimitigwaabi1naaniba

2+mtigwaap+NA+1+Pl+Voc+Pl	gimitigwaabi1naany1dig

2+mtigwaap+NA+2+Pl+Prt	gimitigwaabi1waaban
2+mtigwaap+NA+2+Pl+Prt	gimitigwaabi1waaba

2+mtigwaap+NA+2+Pl+Voc+Pl	gimitigwaabi1waadig

3+mtigwaap+NA+3+4+Prt	omitigwaabi1niwiban
3+mtigwaap+NA+3+4+Prt	omitigwaabi1niwiba
3+mtigwaap+NA+3+4+Prt	omitigwaabi1niiban
3+mtigwaap+NA+3+4+Prt	omitigwaabi1niiba

1+mtigwaap+NA+1+Pl+4	nimitigwaabi1naanin

1+mtigwaap+NA+1+Pl+Loc	nimitigwaabi1naaning

1+mtigwaap+NA+1+Pl+Pl	nimitigwaabi1naany1ag

2+mtigwaap+NA+1+Pl+4	gimitigwaabi1naanin

2+mtigwaap+NA+1+Pl+Loc	gimitigwaabi1naaning

2+mtigwaap+NA+1+Pl+Pl	gimitigwaabi1naany1ag

2+mtigwaap+NA+2+Pl+4	gimitigwaabi1waan

2+mtigwaap+NA+2+Pl+Loc	gimitigwaabi1waang

2+mtigwaap+NA+2+Pl+Pl	gimitigwaabi1waaag

3+mtigwaap+NA+2+Pl+4	omitigwaabi1waan

3+mtigwaap+NA+2+Pl+Loc	omitigwaabi1waang

3+mtigwaap+NA+3+4+4	omitigwaabi1niwan

3+mtigwaap+NA+3+4+Loc	omitigwaabi1niing

1+mtigwaap+NA+Prt+4	nimitigwaabi1baniin

1+mtigwaap+NA+Prt+Loc	nimitigwaabi1baniing

1+mtigwaap+NA+Prt+Pl	nimitigwaabi1bani1ag

2+mtigwaap+NA+Prt+4	gimitigwaabi1baniin

2+mtigwaap+NA+Prt+Loc	gimitigwaabi1baniing

2+mtigwaap+NA+Prt+Pl	gimitigwaabi1bani1ag

3+mtigwaap+NA+Prt+4	omitigwaabi1baniin

3+mtigwaap+NA+Prt+Loc	omitigwaabi1baniing

X+mtigwaap+NA+Prt+4	imitigwaabi1baniin

X+mtigwaap+NA+Prt+Loc	imitigwaabi1baniing

X+mtigwaap+NA+Prt+Pl	imitigwaabi1bani1ag

mtigwaap+NA+Con+Pej+Prt	mitigwaabi1enyishiban
mtigwaap+NA+Con+Pej+Prt	mitigwaabi1enyishiba

mtigwaap+NA+Con+Pej+Voc+Pl	mitigwaabi1enyishdig

mtigwaap+NA+Dim+Pej+Prt	mitigwaabi1ensishiban
mtigwaap+NA+Dim+Pej+Prt	mitigwaabi1ensishiba

mtigwaap+NA+Dim+Pej+Voc+Pl	mitigwaabi1ensishdig

mtigwaap+NA+Con+Pej+4	mitigwaabi1enyishan

mtigwaap+NA+Con+Pej+Loc	mitigwaabi1enyishing

mtigwaap+NA+Con+Pej+Pl	mitigwaabi1enyishag

mtigwaap+NA+Dim+Pej+4	mitigwaabi1ensishan

mtigwaap+NA+Dim+Pej+Loc	mitigwaabi1ensishing

mtigwaap+NA+Dim+Pej+Pl	mitigwaabi1ensishag

mtigwaap+NA+Con+Prt+4	mitigwaabi1enyibaniin

mtigwaap+NA+Con+Prt+Loc	mitigwaabi1enyibaniing

mtigwaap+NA+Con+Prt+Pl	mitigwaabi1enyibani1ag

mtigwaap+NA+Dim+Prt+4	mitigwaabi1ensibaniin

mtigwaap+NA+Dim+Prt+Loc	mitigwaabi1ensibaniing

mtigwaap+NA+Dim+Prt+Pl	mitigwaabi1ensibani1ag

mtigwaap+NA+Pej+Prt+4	mitigwaabi1shibaniin

mtigwaap+NA+Pej+Prt+Loc	mitigwaabi1shibaniing

mtigwaap+NA+Pej+Prt+Pl	mitigwaabi1shibani1ag

1+mtigwaap+NA+Con+ThmPos+Pej	nimitigwaabi1enymish

1+mtigwaap+NA+Dim+ThmPos+Pej	nimitigwaabi1ensmish

2+mtigwaap+NA+Con+ThmPos+Pej	gimitigwaabi1enymish

2+mtigwaap+NA+Dim+ThmPos+Pej	gimitigwaabi1ensmish

X+mtigwaap+NA+Con+ThmPos+Pej	imitigwaabi1enymish

X+mtigwaap+NA+Dim+ThmPos+Pej	imitigwaabi1ensmish

1+mtigwaap+NA+Con+ThmPos+1+Pl	nimitigwaabi1enymnaan
1+mtigwaap+NA+Con+ThmPos+1+Pl	nimitigwaabi1enymnaa

1+mtigwaap+NA+Dim+ThmPos+1+Pl	nimitigwaabi1ensmnaan
1+mtigwaap+NA+Dim+ThmPos+1+Pl	nimitigwaabi1ensmnaa

2+mtigwaap+NA+Con+ThmPos+1+Pl	gimitigwaabi1enymnaan
2+mtigwaap+NA+Con+ThmPos+1+Pl	gimitigwaabi1enymnaa

