mtigwaap+NA	mitigwaabi1
2+mtigwaap+NA+Con+1+Pl+4	gimitigwaabi1enynaanin

2+mtigwaap+NA+Con+1+Pl+Loc	gimitigwaabi1enynaaning

2+mtigwaap+NA+Con+1+Pl+Pl	gimitigwaabi1enynaany1ag

2+mtigwaap+NA+Con+2+Pl+4	gimitigwaabi1enywaan

2+mtigwaap+NA+Con+2+Pl+Loc	gimitigwaabi1enywaang

2+mtigwaap+NA+Con+2+Pl+Pl	gimitigwaabi1enywaaag

2+mtigwaap+NA+Dim+1+Pl+4	gimitigwaabi1ensnaanin

2+mtigwaap+NA+Dim+1+Pl+Loc	gimitigwaabi1ensnaaning

