waaboos+NA	waaboozo
1+waaboos+NA+ThmPos+Pej+Voc+Pl	niwaaboozomishdig

2+waaboos+NA+ThmPos+Pej+Prt	giwaaboozomishiban
2+waaboos+NA+ThmPos+Pej+Prt	giwaaboozomishiba

2+waaboos+NA+ThmPos+Pej+Voc+Pl	giwaaboozomishdig

X+waaboos+NA+ThmPos+Pej+Prt	iwaaboozomishiban
X+waaboos+NA+ThmPos+Pej+Prt	iwaaboozomishiba

X+waaboos+NA+ThmPos+Pej+Voc+Pl	iwaaboozomishdig

1+waaboos+NA+ThmPos+Pej+4	niwaaboozomishan

1+waaboos+NA+ThmPos+Pej+Loc	niwaaboozomishing

