mkomii+NI	makomii
2+mkomii+NI+Dim+1+Pl+Loc	gimakomiiensnaaning

2+mkomii+NI+Dim+1+Pl+Pl	gimakomiiensnaany1an

2+mkomii+NI+Dim+2+Pl+4	gimakomiienswaan

2+mkomii+NI+Dim+2+Pl+Loc	gimakomiienswaang

2+mkomii+NI+Dim+2+Pl+Pl	gimakomiienswaaan

3+mkomii+NI+Con+2+Pl+4	omakomiienywaan

3+mkomii+NI+Con+2+Pl+Loc	omakomiienywaang

3+mkomii+NI+Con+2+Pl+Pl	omakomiienywaaan

3+mkomii+NI+Con+3+4+4	omakomiienyniwan

3+mkomii+NI+Con+3+4+Loc	omakomiienyniing

3+mkomii+NI+Con+3+4+Pl	omakomiienyniwan

