mkomii+NI	makomii

X+mkomii+NI+Con+Voc+Pl	imakomiienydig

X+mkomii+NI+Dim+Prt	imakomiiensiban
X+mkomii+NI+Dim+Prt	imakomiiensiba

X+mkomii+NI+Dim+Voc+Pl	imakomiiensdig

1+mkomii+NI+Con+4	nimakomiienyin

1+mkomii+NI+Con+Loc	nimakomiienying

1+mkomii+NI+Con+Pl	nimakomiienyan

1+mkomii+NI+Dim+4	nimakomiiensan

1+mkomii+NI+Dim+Loc	nimakomiiensing

1+mkomii+NI+Dim+Pl	nimakomiiensan

2+mkomii+NI+Con+4	gimakomiienyin

2+mkomii+NI+Con+Loc	gimakomiienying

2+mkomii+NI+Con+Pl	gimakomiienyan

2+mkomii+NI+Dim+4	gimakomiiensan

2+mkomii+NI+Dim+Loc	gimakomiiensing

2+mkomii+NI+Dim+Pl	gimakomiiensan

3+mkomii+NI+Con+4	omakomiienyin

3+mkomii+NI+Con+Loc	omakomiienying

3+mkomii+NI+Con+Pl	omakomiienyan

3+mkomii+NI+Dim+4	omakomiiensan

3+mkomii+NI+Dim+Loc	omakomiiensing

3+mkomii+NI+Dim+Pl	omakomiiensan

X+mkomii+NI+Con+4	imakomiienyin

X+mkomii+NI+Con+Loc	imakomiienying

X+mkomii+NI+Con+Pl	imakomiienyan

X+mkomii+NI+Dim+4	imakomiiensan

X+mkomii+NI+Dim+Loc	imakomiiensing

X+mkomii+NI+Dim+Pl	imakomiiensan

1+mkomii+NI+ThmPos+Pej	nimakomiimish

2+mkomii+NI+ThmPos+Pej	gimakomiimish

3+mkomii+NI+ThmPos+Pej	omakomiimish

X+mkomii+NI+ThmPos+Pej	imakomiimish

1+mkomii+NI+ThmPos+1+Pl	nimakomiimnaan
1+mkomii+NI+ThmPos+1+Pl	nimakomiimnaa

2+mkomii+NI+ThmPos+1+Pl	gimakomiimnaan
2+mkomii+NI+ThmPos+1+Pl	gimakomiimnaa

2+mkomii+NI+ThmPos+2+Pl	gimakomiimwaa

3+mkomii+NI+ThmPos+2+Pl	omakomiimwaa

3+mkomii+NI+ThmPos+3+4	omakomiimniw

1+mkomii+NI+ThmPos+Prt	nimakomiimiban
1+mkomii+NI+ThmPos+Prt	nimakomiimiba

1+mkomii+NI+ThmPos+Voc+Pl	nimakomiimdig

2+mkomii+NI+ThmPos+Prt	gimakomiimiban
2+mkomii+NI+ThmPos+Prt	gimakomiimiba

2+mkomii+NI+ThmPos+Voc+Pl	gimakomiimdig

3+mkomii+NI+ThmPos+Prt	omakomiimiban
3+mkomii+NI+ThmPos+Prt	omakomiimiba

3+mkomii+NI+ThmPos+Voc+Pl	omakomiimdig

X+mkomii+NI+ThmPos+Prt	imakomiimiban
X+mkomii+NI+ThmPos+Prt	imakomiimiba

X+mkomii+NI+ThmPos+Voc+Pl	imakomiimdig

1+mkomii+NI+ThmPos+4	nimakomiiman

1+mkomii+NI+ThmPos+Loc	nimakomiiming

1+mkomii+NI+ThmPos+Pl	nimakomiiman

2+mkomii+NI+ThmPos+4	gimakomiiman

2+mkomii+NI+ThmPos+Loc	gimakomiiming

2+mkomii+NI+ThmPos+Pl	gimakomiiman

3+mkomii+NI+ThmPos+4	omakomiiman

3+mkomii+NI+ThmPos+Loc	omakomiiming

3+mkomii+NI+ThmPos+Pl	omakomiiman

X+mkomii+NI+ThmPos+4	imakomiiman

X+mkomii+NI+ThmPos+Loc	imakomiiming

X+mkomii+NI+ThmPos+Pl	imakomiiman

1+mkomii+NI+Pej+1+Pl	nimakomiishnaan
1+mkomii+NI+Pej+1+Pl	nimakomiishnaa

2+mkomii+NI+Pej+1+Pl	gimakomiishnaan
2+mkomii+NI+Pej+1+Pl	gimakomiishnaa

2+mkomii+NI+Pej+2+Pl	gimakomiishwaa

3+mkomii+NI+Pej+2+Pl	omakomiishwaa

3+mkomii+NI+Pej+3+4	omakomiishniw

1+mkomii+NI+Pej+Prt	nimakomiishiban
1+mkomii+NI+Pej+Prt	nimakomiishiba

1+mkomii+NI+Pej+Voc+Pl	nimakomiishdig

2+mkomii+NI+Pej+Prt	gimakomiishiban
2+mkomii+NI+Pej+Prt	gimakomiishiba

2+mkomii+NI+Pej+Voc+Pl	gimakomiishdig

3+mkomii+NI+Pej+Prt	omakomiishiban
3+mkomii+NI+Pej+Prt	omakomiishiba

3+mkomii+NI+Pej+Voc+Pl	omakomiishdig

X+mkomii+NI+Pej+Prt	imakomiishiban
X+mkomii+NI+Pej+Prt	imakomiishiba

X+mkomii+NI+Pej+Voc+Pl	imakomiishdig

1+mkomii+NI+Pej+4	nimakomiishan

1+mkomii+NI+Pej+Loc	nimakomiishing

1+mkomii+NI+Pej+Pl	nimakomiishan

2+mkomii+NI+Pej+4	gimakomiishan

2+mkomii+NI+Pej+Loc	gimakomiishing

2+mkomii+NI+Pej+Pl	gimakomiishan

3+mkomii+NI+Pej+4	omakomiishan

3+mkomii+NI+Pej+Loc	omakomiishing

3+mkomii+NI+Pej+Pl	omakomiishan

X+mkomii+NI+Pej+4	imakomiishan

X+mkomii+NI+Pej+Loc	imakomiishing

X+mkomii+NI+Pej+Pl	imakomiishan

1+mkomii+NI+1+Pl+Prt	nimakomiinaaniban
1+mkomii+NI+1+Pl+Prt	nimakomiinaaniba

1+mkomii+NI+1+Pl+Voc+Pl	nimakomiinaany1dig

2+mkomii+NI+1+Pl+Prt	gimakomiinaaniban
2+mkomii+NI+1+Pl+Prt	gimakomiinaaniba

2+mkomii+NI+1+Pl+Voc+Pl	gimakomiinaany1dig

2+mkomii+NI+2+Pl+Prt	gimakomiiwaaban
2+mkomii+NI+2+Pl+Prt	gimakomiiwaaba

2+mkomii+NI+2+Pl+Voc+Pl	gimakomiiwaadig

3+mkomii+NI+2+Pl+Prt	omakomiiwaaban
3+mkomii+NI+2+Pl+Prt	omakomiiwaaba

3+mkomii+NI+2+Pl+Voc+Pl	omakomiiwaadig

3+mkomii+NI+3+4+Prt	omakomiiniwiban
3+mkomii+NI+3+4+Prt	omakomiiniwiba
3+mkomii+NI+3+4+Prt	omakomiiniiban
3+mkomii+NI+3+4+Prt	omakomiiniiba

3+mkomii+NI+3+4+Voc+Pl	omakomiiniwdig

1+mkomii+NI+1+Pl+4	nimakomiinaanin

1+mkomii+NI+1+Pl+Loc	nimakomiinaaning

1+mkomii+NI+1+Pl+Pl	nimakomiinaany1an

2+mkomii+NI+1+Pl+4	gimakomiinaanin

2+mkomii+NI+1+Pl+Loc	gimakomiinaaning

2+mkomii+NI+1+Pl+Pl	gimakomiinaany1an

2+mkomii+NI+2+Pl+4	gimakomiiwaan

