mkizin+NI	makizin
3+mkizin+NI+Con+3+4	omakizinenyniw

3+mkizin+NI+Dim+2+Pl	omakizinenswaa

3+mkizin+NI+Dim+3+4	omakizinensniw

1+mkizin+NI+Con+Prt	nimakizinenyiban
1+mkizin+NI+Con+Prt	nimakizinenyiba

1+mkizin+NI+Con+Voc+Pl	nimakizinenydig

1+mkizin+NI+Dim+Prt	nimakizinensiban
1+mkizin+NI+Dim+Prt	nimakizinensiba

1+mkizin+NI+Dim+Voc+Pl	nimakizinensdig

2+mkizin+NI+Con+Prt	gimakizinenyiban
2+mkizin+NI+Con+Prt	gimakizinenyiba

2+mkizin+NI+Con+Voc+Pl	gimakizinenydig

2+mkizin+NI+Dim+Prt	gimakizinensiban
2+mkizin+NI+Dim+Prt	gimakizinensiba

2+mkizin+NI+Dim+Voc+Pl	gimakizinensdig

3+mkizin+NI+Con+Prt	omakizinenyiban
3+mkizin+NI+Con+Prt	omakizinenyiba

3+mkizin+NI+Con+Voc+Pl	omakizinenydig

3+mkizin+NI+Dim+Prt	omakizinensiban
3+mkizin+NI+Dim+Prt	omakizinensiba

3+mkizin+NI+Dim+Voc+Pl	omakizinensdig

X+mkizin+NI+Con+Prt	imakizinenyiban
X+mkizin+NI+Con+Prt	imakizinenyiba

X+mkizin+NI+Con+Voc+Pl	imakizinenydig

X+mkizin+NI+Dim+Prt	imakizinensiban
X+mkizin+NI+Dim+Prt	imakizinensiba

X+mkizin+NI+Dim+Voc+Pl	imakizinensdig

1+mkizin+NI+Con+4	nimakizinenyin

1+mkizin+NI+Con+Loc	nimakizinenying

1+mkizin+NI+Con+Pl	nimakizinenyan

1+mkizin+NI+Dim+4	nimakizinensan

1+mkizin+NI+Dim+Loc	nimakizinensing

1+mkizin+NI+Dim+Pl	nimakizinensan

2+mkizin+NI+Con+4	gimakizinenyin

2+mkizin+NI+Con+Loc	gimakizinenying

2+mkizin+NI+Con+Pl	gimakizinenyan

2+mkizin+NI+Dim+4	gimakizinensan

2+mkizin+NI+Dim+Loc	gimakizinensing

2+mkizin+NI+Dim+Pl	gimakizinensan

3+mkizin+NI+Con+4	omakizinenyin

3+mkizin+NI+Con+Loc	omakizinenying

3+mkizin+NI+Con+Pl	omakizinenyan

3+mkizin+NI+Dim+4	omakizinensan

3+mkizin+NI+Dim+Loc	omakizinensing

3+mkizin+NI+Dim+Pl	omakizinensan

X+mkizin+NI+Con+4	imakizinenyin

X+mkizin+NI+Con+Loc	imakizinenying

X+mkizin+NI+Con+Pl	imakizinenyan

X+mkizin+NI+Dim+4	imakizinensan

X+mkizin+NI+Dim+Loc	imakizinensing

X+mkizin+NI+Dim+Pl	imakizinensan

1+mkizin+NI+ThmPos+Pej	nimakizinmish

2+mkizin+NI+ThmPos+Pej	gimakizinmish

3+mkizin+NI+ThmPos+Pej	omakizinmish

X+mkizin+NI+ThmPos+Pej	imakizinmish

1+mkizin+NI+ThmPos+1+Pl	nimakizinmnaan
1+mkizin+NI+ThmPos+1+Pl	nimakizinmnaa

2+mkizin+NI+ThmPos+1+Pl	gimakizinmnaan
2+mkizin+NI+ThmPos+1+Pl	gimakizinmnaa

2+mkizin+NI+ThmPos+2+Pl	gimakizinmwaa

3+mkizin+NI+ThmPos+2+Pl	omakizinmwaa

3+mkizin+NI+ThmPos+3+4	omakizinmniw

1+mkizin+NI+ThmPos+Prt	nimakizinmiban
1+mkizin+NI+ThmPos+Prt	nimakizinmiba

1+mkizin+NI+ThmPos+Voc+Pl	nimakizinmdig

2+mkizin+NI+ThmPos+Prt	gimakizinmiban
2+mkizin+NI+ThmPos+Prt	gimakizinmiba

2+mkizin+NI+ThmPos+Voc+Pl	gimakizinmdig

3+mkizin+NI+ThmPos+Prt	omakizinmiban
3+mkizin+NI+ThmPos+Prt	omakizinmiba

3+mkizin+NI+ThmPos+Voc+Pl	omakizinmdig

X+mkizin+NI+ThmPos+Prt	imakizinmiban
X+mkizin+NI+ThmPos+Prt	imakizinmiba

X+mkizin+NI+ThmPos+Voc+Pl	imakizinmdig

1+mkizin+NI+ThmPos+4	nimakizinman

1+mkizin+NI+ThmPos+Loc	nimakizinming

1+mkizin+NI+ThmPos+Pl	nimakizinman

2+mkizin+NI+ThmPos+4	gimakizinman

2+mkizin+NI+ThmPos+Loc	gimakizinming

2+mkizin+NI+ThmPos+Pl	gimakizinman

3+mkizin+NI+ThmPos+4	omakizinman

3+mkizin+NI+ThmPos+Loc	omakizinming

3+mkizin+NI+ThmPos+Pl	omakizinman

X+mkizin+NI+ThmPos+4	imakizinman

X+mkizin+NI+ThmPos+Loc	imakizinming

X+mkizin+NI+ThmPos+Pl	imakizinman

1+mkizin+NI+Pej+1+Pl	nimakizinshnaan
1+mkizin+NI+Pej+1+Pl	nimakizinshnaa

