mkizin+NI	makizin
2+mkizin+NI+Dim+2+Pl+Pl	gimakizinenswaaan

3+mkizin+NI+Con+2+Pl+4	omakizinenywaan

3+mkizin+NI+Con+2+Pl+Loc	omakizinenywaang

3+mkizin+NI+Con+2+Pl+Pl	omakizinenywaaan

3+mkizin+NI+Con+3+4+4	omakizinenyniwan

3+mkizin+NI+Con+3+4+Loc	omakizinenyniing

3+mkizin+NI+Con+3+4+Pl	omakizinenyniwan

3+mkizin+NI+Dim+2+Pl+4	omakizinenswaan

3+mkizin+NI+Dim+2+Pl+Loc	omakizinenswaang

3+mkizin+NI+Dim+2+Pl+Pl	omakizinenswaaan

3+mkizin+NI+Dim+3+4+4	omakizinensniwan

3+mkizin+NI+Dim+3+4+Loc	omakizinensniing

