Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1,Form2
VTA,Ind,Regular,waabam,waabam,2Pl,3SgObv/3PlObv,Dub,Pos,gi<<waabam>>imaawaadogenan,
VTA,Ind,Regular,waabam,waabam,2Pl,3SgProx,Dub,Neg,gi<<waabam>>aasiwaawaadog,
VTA,Ind,Regular,waabam,waabam,2Pl,3SgProx,Dub,Pos,gi<<waabam>>aawaadog,
VTA,Ind,Regular,waabam,waabam,2Pl,Excl,Dub,Neg,gi<<waabam>>isiiminaadog,
VTA,Ind,Regular,waabam,waabam,2Pl,Excl,Dub,Pos,gi<<waabam>>iminaadog,
VTA,Ind,Regular,waabam,waabam,2Sg,1Sg,Dub,Neg,gi<<waabam>>isiinaadog,
VTA,Ind,Regular,waabam,waabam,2Sg,1Sg,Dub,Pos,gi<<waabam>>inaadog,
VTA,Ind,Regular,waabam,waabam,2Sg,3PlProx,Dub,Neg,gi<<waabam>>aasiidogenag,
VTA,Ind,Regular,waabam,waabam,2Sg,3PlProx,Dub,Pos,gi<<waabam>>aadogenag,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Dub,Neg,gi<<waabam>>imaasiidogenan,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgObv/3PlObv,Dub,Pos,gi<<waabam>>imaadogenan,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgProx,Dub,Neg,gi<<waabam>>aasiidog,
VTA,Ind,Regular,waabam,waabam,2Sg,3SgProx,Dub,Pos,gi<<waabam>>aadog,
VTA,Ind,Regular,waabam,waabam,2Sg,Excl,Dub,Neg,gi<<waabam>>isiiminaadog,
VTA,Ind,Regular,waabam,waabam,2Sg,Excl,Dub,Pos,gi<<waabam>>iminaadog,
VTA,Ind,Regular,waabam,waabam,3PlProx,1Sg,Dub,Neg,ni<<waabam>>igosiidogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,1Sg,Dub,Pos,ni<<waabam>>igodogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Pl,Dub,Neg,gi<<waabam>>igosiiwaadogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Pl,Dub,Pos,gi<<waabam>>igowaadogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Sg,Dub,Neg,gi<<waabam>>igosiidogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,2Sg,Dub,Pos,gi<<waabam>>igodogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Dub,Neg,o<<waabam>>aasiwaawaadogenan,
VTA,Ind,Regular,waabam,waabam,3PlProx,3SgObv/3PlObv,Dub,Pos,o<<waabam>>aawaadogenan,
VTA,Ind,Regular,waabam,waabam,3PlProx,Excl,Dub,Neg,ni<<waabam>>igosiinaadogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,Excl,Dub,Pos,ni<<waabam>>igonaadogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,Incl,Dub,Neg,gi<<waabam>>igosiinaadogenag,
VTA,Ind,Regular,waabam,waabam,3PlProx,Incl,Dub,Pos,gi<<waabam>>igonaadogenag,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Dub,Neg,o<<waabam>>igosiiwaadogenan,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3PlProx,Dub,Pos,o<<waabam>>igowaadogenan,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Dub,Neg,o<<waabam>>igosiidogenan,
VTA,Ind,Regular,waabam,waabam,3SgObv/3PlObv,3SgProx,Dub,Pos,o<<waabam>>igodogenan,
VTA,Ind,Regular,waabam,waabam,3SgProx,1Sg,Dub,Neg,ni<<waabam>>igosiidog,
VTA,Ind,Regular,waabam,waabam,3SgProx,1Sg,Dub,Pos,ni<<waabam>>igodog,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Pl,Dub,Neg,gi<<waabam>>igosiiwaadog,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Pl,Dub,Pos,gi<<waabam>>igowaadog,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Sg,Dub,Neg,gi<<waabam>>igosiidog,
VTA,Ind,Regular,waabam,waabam,3SgProx,2Sg,Dub,Pos,gi<<waabam>>igodog,
VTA,Ind,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Dub,Neg,o<<waabam>>aasiidogenan,
VTA,Ind,Regular,waabam,waabam,3SgProx,3SgObv/3PlObv,Dub,Pos,o<<waabam>>aadogenan,
VTA,Ind,Regular,waabam,waabam,3SgProx,Excl,Dub,Neg,ni<<waabam>>igosiinaadog,
VTA,Ind,Regular,waabam,waabam,3SgProx,Excl,Dub,Pos,ni<<waabam>>igonaadog,
VTA,Ind,Regular,waabam,waabam,3SgProx,Incl,Dub,Neg,gi<<waabam>>igosiinaadog,
VTA,Ind,Regular,waabam,waabam,3SgProx,Incl,Dub,Pos,gi<<waabam>>igonaadog,
VTA,Ind,Regular,waabam,waabam,Excl,2Pl,Dub,Neg,gi<<waabam>>igoosiimwaadog,
VTA,Ind,Regular,waabam,waabam,Excl,2Pl,Dub,Pos,gi<<waabam>>igoomwaadog,
VTA,Ind,Regular,waabam,waabam,Excl,2Sg,Dub,Neg,gi<<waabam>>igoosiinaadog,
