Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1Surface,Form1Split,Source
VII,Cnj,d,zanagad,zanagad,0SgObv/0PlObv,Dub+Prt,Neg,zanagasininigobanen,<<zanaga>>sininigobanen,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgObv/0PlObv,Dub+Prt,Pos,zanagadinigobanen,<<zanagad>>inigobanen,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgObv/0PlObv,Neu,Neg,zanagasininig,<<zanaga>>sininig,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgObv/0PlObv,Neu,Pos,zanagadinig,<<zanagad>>inig,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgObv/0PlObv,Prt,Neg,zanagasininigiban,<<zanaga>>sininigiban,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgObv/0PlObv,Prt,Pos,zanagadinigiban,<<zanagad>>inigiban,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Dub,Neg,zanagasinoogwen,<<zanaga>>sinoogwen,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Dub,Pos,zanagadogwen,<<zanagad>>ogwen,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Dub+Prt,Neg,zanagasinoogobanen,<<zanaga>>sinoogobanen,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Dub+Prt,Pos,zanagadogobanen,<<zanagad>>ogobanen,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Neu,Neg,zanagasinog,<<zanaga>>sinog,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Neu,Pos,zanagak,<<zanaga>>k,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Prt,Neg,zanagasinoogiban,<<zanaga>>sinoogiban,JDN-PC
VII,Cnj,d,zanagad,zanagad,0SgProx/0PlProx,Prt,Pos,zanagakiban,<<zanaga>>kiban,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Dub,Neg,MISSING,MISSING,NA
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Dub,Pos,atenigwen,<<ate>>nigwen,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Dub+Prt,Neg,atesininigobanen,<<ate>>sininigobanen,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Dub+Prt,Pos,atenigobanen,<<ate>>nigobanen,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Neu,Neg,atesininig,<<ate>>sininig,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Neu,Pos,atenig,<<ate>>nig,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Prt,Neg,atesininigiban,<<ate>>sininigiban,JDN-PC
VII,Cnj,e,ate,ate,0SgObv/0PlObv,Prt,Pos,atenigiban,<<ate>>nigiban,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Dub,Neg,MISSING,MISSING,NA
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Dub,Pos,ategwen,<<ate>>gwen,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Dub+Prt,Neg,atesinoogobanen,<<ate>>sinoogobanen,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Dub+Prt,Pos,ategobanen,<<ate>>gobanen,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Neu,Neg,atesinog,<<ate>>sinog,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Neu,Pos,ateg,<<ate>>g,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Prt,Neg,atesinoogiban,<<ate>>sinoogiban,JDN-PC
VII,Cnj,e,ate,ate,0SgProx/0PlProx,Prt,Pos,ategiban,<<ate>>giban,JDN-PC
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Dub,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Dub,Pos,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Dub+Prt,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Dub+Prt,Pos,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Neu,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Neu,Pos,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Prt,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgObv/0PlObv,Prt,Pos,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Dub,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Dub,Pos,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Dub+Prt,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Dub+Prt,Pos,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Neu,Neg,dakaagamisinog,<<dakaagami>>sinog,JDN-PC
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Neu,Pos,dakaagamig,<<dakaagami>>g,JDN-PC
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Prt,Neg,MISSING,MISSING,NA
VII,Cnj,i,dakaagami,dakaagami,0SgProx/0PlProx,Prt,Pos,MISSING,MISSING,NA
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Dub,Neg,gonzaabiisininiigwen,<<gonzaabii>>sininiigwen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Dub,Pos,gonzaabiinigwen,<<gonzaabii>>nigwen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Dub+Prt,Neg,gonzaabiisininigobanen,<<gonzaabii>>sininigobanen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Dub+Prt,Pos,gonzaabiinigobanen,<<gonzaabii>>nigobanen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Neu,Neg,gonzaabiisininig,<<gonzaabii>>sininig,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Neu,Pos,gonzaabiinig,<<gonzaabii>>nig,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Prt,Neg,gonzaabiisininigiban,<<gonzaabii>>sininigiban,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgObv/0PlObv,Prt,Pos,gonzaabiinigiban,<<gonzaabii>>nigiban,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Dub,Neg,gonzaabiisinoogwen,<<gonzaabii>>sinoogwen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Dub,Pos,gonzaabiigwen,<<gonzaabii>>gwen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Dub+Prt,Neg,gonzaabiisinoogobanen,<<gonzaabii>>sinoogobanen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Dub+Prt,Pos,gonzaabiigobanen,<<gonzaabii>>gobanen,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Neu,Neg,gonzaabiisinog,<<gonzaabii>>sinog,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Neu,Pos,gonzaabiig,<<gonzaabii>>g,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Prt,Neg,gonzaabiisinoogiban,<<gonzaabii>>sinoogiban,JDN-PC
VII,Cnj,ii,gonzaabii,gonzaabii,0SgProx/0PlProx,Prt,Pos,gonzaabiigiban,<<gonzaabii>>giban,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Dub,Neg,atemagasinoogwen,<<atemaga>>sinoogwen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Dub,Pos,atemagadinigwen,<<atemagad>>inigwen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Dub+Prt,Neg,atemagasininigobanen,<<atemaga>>sininigobanen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Dub+Prt,Pos,atemagadinigobanen,<<atemagad>>inigobanen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Neu,Neg,atemagasininig,<<atemaga>>sininig,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Neu,Pos,atemagadinig,<<atemagad>>inig,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Prt,Neg,atemagasininigiban,<<atemaga>>sininigiban,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgObv/0PlObv,Prt,Pos,atemagadinigiban,<<atemagad>>inigiban,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Dub,Neg,atemagasinoogwen,<<atemaga>>sinoogwen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Dub,Pos,atemagadogwen,<<atemagad>>ogwen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Dub+Prt,Neg,atemagasinoogobanen,<<atemaga>>sinoogobanen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Dub+Prt,Pos,atemagadogobanen,<<atemagad>>ogobanen,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Neu,Neg,atemagasinog,<<atemaga>>sinog,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Neu,Pos,atemagak,<<atemaga>>k,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Prt,Neg,atemagasinoogiban,<<atemaga>>sinoogiban,JDN-PC
VII,Cnj,magad,atemagad,atemagad,0SgProx/0PlProx,Prt,Pos,atemagakiban,<<atemaga>>kiban,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Dub,Neg,bangisinzininiigwen,<<bangisin>>zininiigwen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Dub,Pos,bangisininigwen,<<bangisin>>inigwen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Dub+Prt,Neg,bangisinzininigobanen,<<bangisin>>zininigobanen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Dub+Prt,Pos,bangisininigobanen,<<bangisin>>inigobanen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Neu,Neg,bangisinzininig,<<bangisin>>zininig,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Neu,Pos,bangisininig,<<bangisin>>inig,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Prt,Neg,bangisinzininigiban,<<bangisin>>zininigiban,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgObv/0PlObv,Prt,Pos,bangisininigiban,<<bangisin>>inigiban,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Dub,Neg,bangisinzinoogwen,<<bangisin>>zinoogwen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Dub,Pos,bangisinogwen,<<bangisin>>ogwen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Dub+Prt,Neg,bangisinzinoogobanen,<<bangisin>>zinoogobanen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Dub+Prt,Pos,bangisinogobanen,<<bangisin>>ogobanen,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Neu,Neg,bangisinzinog,<<bangisin>>zinog,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Neu,Pos,bangising,<<bangisin>>g,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Prt,Neg,bangisinzinoogiban,<<bangisin>>zinoogiban,JDN-PC
VII,Cnj,n,bangisin,bangisin,0SgProx/0PlProx,Prt,Pos,bangisingiban,<<bangisin>>giban,JDN-PC
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Dub,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Dub,Pos,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Dub+Prt,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Dub+Prt,Pos,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Neu,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Neu,Pos,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Prt,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgObv/0PlObv,Prt,Pos,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Dub,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Dub,Pos,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Dub+Prt,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Dub+Prt,Pos,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Neu,Neg,inamosinog,<<inamo>>sinog,JDN-PC
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Neu,Pos,inamog,<<inamo>>g,JDN-PC
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Prt,Neg,MISSING,MISSING,NA
VII,Cnj,o,inamo,inamo,0SgProx/0PlProx,Prt,Pos,MISSING,MISSING,NA
