Paradigm,Order,Class,Lemma,Stem,Subject,Mode,Negation,Form1,Form1Split
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Neu,Neg,maajiibatoosinig,<<maajiibatoo>>sinig
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Neu,Pos,maajiibatoonid,<<maajiibatoo>>nid
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Prt,Neg,maajiibatoosinigoban,<<maajiibatoo>>sinigoban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgObv,Prt,Pos,maajiibatoonipan,<<maajiibatoo>>nipan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub,Neg,maajiibatoosiigwen,<<maajiibatoo>>siigwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub,Pos,maajiibatoogwen,<<maajiibatoo>>gwen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub+Prt,Neg,maajiibatoosiigobanen,<<maajiibatoo>>siigobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Dub+Prt,Pos,maajiibatoogobanen,<<maajiibatoo>>gobanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Neu,Neg,maajiibatoosig,<<maajiibatoo>>sig
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Neu,Pos,maajiibatood,<<maajiibatoo>>d
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Prt,Neg,maajiibatoosigoban,<<maajiibatoo>>sigoban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,3SgProx,Prt,Pos,maajiibatoopan,<<maajiibatoo>>pan
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub,Neg,maajiibatoosiiwaangen,<<maajiibatoo>>siiwaangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub,Pos,maajiibatoowaangen,<<maajiibatoo>>waangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub+Prt,Neg,maajiibatoosiiwaangibanen,<<maajiibatoo>>siiwaangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Dub+Prt,Pos,maajiibatoowaangibanen,<<maajiibatoo>>waangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Neu,Neg,maajiibatoosiwaang,<<maajiibatoo>>siwaang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Neu,Pos,maajiibatooyaang,<<maajiibatoo>>yaang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Prt,Neg,maajiibatoosiwaangiban,<<maajiibatoo>>siwaangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Excl,Prt,Pos,maajiibatooyaangiban,<<maajiibatoo>>yaangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub,Neg,maajiibatoosiiwangen,<<maajiibatoo>>siiwangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub,Pos,maajiibatoowangen,<<maajiibatoo>>wangen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub+Prt,Neg,maajiibatoosiiwangibanen,<<maajiibatoo>>siiwangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Dub+Prt,Pos,maajiibatoowangibanen,<<maajiibatoo>>wangibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Neu,Neg,maajiibatoosiwang,<<maajiibatoo>>siwang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Neu,Pos,maajiibatooyang,<<maajiibatoo>>yang
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Prt,Neg,maajiibatoosiwangiban,<<maajiibatoo>>siwangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,Incl,Prt,Pos,maajiibatooyangiban,<<maajiibatoo>>yangiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub,Neg,maajiibatoosiiwiingen,<<maajiibatoo>>siiwiingen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub,Pos,maajiibatoowiingen,<<maajiibatoo>>wiingen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub+Prt,Neg,maajiibatoosiiwiingibanen,<<maajiibatoo>>siiwiingibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Dub+Prt,Pos,maajiibatoowiingibanen,<<maajiibatoo>>wiingibanen
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Neu,Neg,maajiibatoosing,<<maajiibatoo>>sing
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Neu,Pos,maajiibatoong,<<maajiibatoo>>ng
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Prt,Neg,maajiibatoosingiban,<<maajiibatoo>>singiban
VAI,Cnj,oo,maajiibatoo,maajiibatoo,X,Prt,Pos,maajiibatoongiban,<<maajiibatoo>>ngiban
VAI,Cnj,ii,madaabii,madaabii,1Sg,Dub,Neg,madaabiisiiwaanen,<<madaabii>>siiwaanen
VAI,Cnj,ii,madaabii,madaabii,1Sg,Dub,Pos,madaabiiwaanen,<<madaabii>>waanen
VAI,Cnj,ii,madaabii,madaabii,1Sg,Dub+Prt,Neg,madaabiisiiwaambaanen,<<madaabii>>siiwaambaanen
VAI,Cnj,ii,madaabii,madaabii,1Sg,Dub+Prt,Pos,madaabiiwaambaanen,<<madaabii>>waambaanen
VAI,Cnj,ii,madaabii,madaabii,1Sg,Neu,Neg,madaabiisiwaan,<<madaabii>>siwaan
VAI,Cnj,ii,madaabii,madaabii,1Sg,Neu,Pos,madaabiiyaan,<<madaabii>>yaan
VAI,Cnj,ii,madaabii,madaabii,1Sg,Prt,Neg,madaabiisiwaambaan,<<madaabii>>siwaambaan
VAI,Cnj,ii,madaabii,madaabii,1Sg,Prt,Pos,madaabiiyaambaan,<<madaabii>>yaambaan
VAI,Cnj,ii,madaabii,madaabii,2Pl,Dub,Neg,madaabiisiiwegwen,<<madaabii>>siiwegwen
VAI,Cnj,ii,madaabii,madaabii,2Pl,Dub,Pos,madaabiiwegwen,<<madaabii>>wegwen
VAI,Cnj,ii,madaabii,madaabii,2Pl,Dub+Prt,Neg,madaabiisiiwegibanen,<<madaabii>>siiwegibanen
VAI,Cnj,ii,madaabii,madaabii,2Pl,Dub+Prt,Pos,madaabiiwegibanen,<<madaabii>>wegibanen
VAI,Cnj,ii,madaabii,madaabii,2Pl,Neu,Neg,madaabiisiweg,<<madaabii>>siweg
VAI,Cnj,ii,madaabii,madaabii,2Pl,Neu,Pos,madaabiiyeg,<<madaabii>>yeg
VAI,Cnj,ii,madaabii,madaabii,2Pl,Prt,Neg,madaabiisiwegiban,<<madaabii>>siwegiban
VAI,Cnj,ii,madaabii,madaabii,2Pl,Prt,Pos,madaabiiyegiban,<<madaabii>>yegiban
VAI,Cnj,ii,madaabii,madaabii,2Sg,Dub,Neg,madaabiisiiwanen,<<madaabii>>siiwanen
VAI,Cnj,ii,madaabii,madaabii,2Sg,Dub,Pos,madaabiiwanen,<<madaabii>>wanen
VAI,Cnj,ii,madaabii,madaabii,2Sg,Dub+Prt,Neg,madaabiisiiwambanen,<<madaabii>>siiwambanen
VAI,Cnj,ii,madaabii,madaabii,2Sg,Dub+Prt,Pos,madaabiiwambanen,<<madaabii>>wambanen
VAI,Cnj,ii,madaabii,madaabii,2Sg,Neu,Neg,madaabiisiwan ,<<madaabii>>siwan 
VAI,Cnj,ii,madaabii,madaabii,2Sg,Neu,Pos,madaabiiyan ,<<madaabii>>yan 
VAI,Cnj,ii,madaabii,madaabii,2Sg,Prt,Neg,madaabiisiwamban,<<madaabii>>siwamban
VAI,Cnj,ii,madaabii,madaabii,2Sg,Prt,Pos,madaabiiyamban,<<madaabii>>yamban
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Dub,Neg,madaabiisiinigwen,<<madaabii>>siinigwen
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Dub,Pos,madaabiinigwen,<<madaabii>>nigwen
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Dub+Prt,Neg,madaabiisiinigobanen,<<madaabii>>siinigobanen
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Dub+Prt,Pos,madaabiinigobanen,<<madaabii>>nigobanen
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Neu,Neg,madaabiisinig,<<madaabii>>sinig
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Neu,Pos,madaabiinid,<<madaabii>>nid
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Prt,Neg,madaabiisinigoban,<<madaabii>>sinigoban
VAI,Cnj,ii,madaabii,madaabii,3PlObv,Prt,Pos,madaabiinipan,<<madaabii>>nipan
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Dub,Neg,madaabiisiiwaagwen,<<madaabii>>siiwaagwen
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Dub,Pos,madaabiiwaagwen,<<madaabii>>waagwen
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Dub+Prt,Neg,madaabiisiiwaagobanen,<<madaabii>>siiwaagobanen
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Dub+Prt,Pos,madaabiiwaagobanen,<<madaabii>>waagobanen
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Neu,Neg,madaabiisigwaa,<<madaabii>>sigwaa
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Neu,Pos,madaabiiwaad,<<madaabii>>waad
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Prt,Neg,madaabiisigwaaban,<<madaabii>>sigwaaban
VAI,Cnj,ii,madaabii,madaabii,3PlProx,Prt,Pos,madaabiiwaapan,<<madaabii>>waapan
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Dub,Neg,madaabiisiinigwen,<<madaabii>>siinigwen
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Dub,Pos,madaabiinigwen,<<madaabii>>nigwen
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Dub+Prt,Neg,madaabiisiinigobanen,<<madaabii>>siinigobanen
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Dub+Prt,Pos,madaabiinigobanen,<<madaabii>>nigobanen
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Neu,Neg,madaabiisinig,<<madaabii>>sinig
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Neu,Pos,madaabiinid,<<madaabii>>nid
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Prt,Neg,madaabiisinigoban,<<madaabii>>sinigoban
VAI,Cnj,ii,madaabii,madaabii,3SgObv,Prt,Pos,madaabiinipan,<<madaabii>>nipan
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Dub,Neg,madaabiisiigwen,<<madaabii>>siigwen
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Dub,Pos,madaabiigwen,<<madaabii>>gwen
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Dub+Prt,Neg,madaabiisiigobanen,<<madaabii>>siigobanen
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Dub+Prt,Pos,madaabiigobanen,<<madaabii>>gobanen
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Neu,Neg,madaabiisig,<<madaabii>>sig
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Neu,Pos,madaabiid,<<madaabii>>d
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Prt,Neg,madaabiisigoban,<<madaabii>>sigoban
VAI,Cnj,ii,madaabii,madaabii,3SgProx,Prt,Pos,madaabiipan,<<madaabii>>pan
VAI,Cnj,ii,madaabii,madaabii,Excl,Dub,Neg,madaabiisiiwaangen,<<madaabii>>siiwaangen
VAI,Cnj,ii,madaabii,madaabii,Excl,Dub,Pos,madaabiiwaangen,<<madaabii>>waangen
VAI,Cnj,ii,madaabii,madaabii,Excl,Dub+Prt,Neg,madaabiisiiwaangibanen,<<madaabii>>siiwaangibanen
VAI,Cnj,ii,madaabii,madaabii,Excl,Dub+Prt,Pos,madaabiiwaangibanen,<<madaabii>>waangibanen
VAI,Cnj,ii,madaabii,madaabii,Excl,Neu,Neg,madaabiisiwaang,<<madaabii>>siwaang
VAI,Cnj,ii,madaabii,madaabii,Excl,Neu,Pos,madaabiiyaang,<<madaabii>>yaang
VAI,Cnj,ii,madaabii,madaabii,Excl,Prt,Neg,madaabiisiwaangiban,<<madaabii>>siwaangiban
VAI,Cnj,ii,madaabii,madaabii,Excl,Prt,Pos,madaabiiyaangiban,<<madaabii>>yaangiban
VAI,Cnj,ii,madaabii,madaabii,Incl,Dub,Neg,madaabiisiiwangen,<<madaabii>>siiwangen
VAI,Cnj,ii,madaabii,madaabii,Incl,Dub,Pos,madaabiiwangen,<<madaabii>>wangen
VAI,Cnj,ii,madaabii,madaabii,Incl,Dub+Prt,Neg,madaabiisiiwangibanen,<<madaabii>>siiwangibanen
VAI,Cnj,ii,madaabii,madaabii,Incl,Dub+Prt,Pos,madaabiiwangibanen,<<madaabii>>wangibanen
VAI,Cnj,ii,madaabii,madaabii,Incl,Neu,Neg,madaabiisiwang,<<madaabii>>siwang
VAI,Cnj,ii,madaabii,madaabii,Incl,Neu,Pos,madaabiiyang,<<madaabii>>yang
VAI,Cnj,ii,madaabii,madaabii,Incl,Prt,Neg,madaabiisiwangiban,<<madaabii>>siwangiban
VAI,Cnj,ii,madaabii,madaabii,Incl,Prt,Pos,madaabiiyangiban,<<madaabii>>yangiban
VAI,Cnj,ii,madaabii,madaabii,X,Dub,Neg,madaabiisiiwiingen,<<madaabii>>siiwiingen
VAI,Cnj,ii,madaabii,madaabii,X,Dub,Pos,madaabiiwiingen,<<madaabii>>wiingen
VAI,Cnj,ii,madaabii,madaabii,X,Dub+Prt,Neg,madaabiisiiwiingibanen,<<madaabii>>siiwiingibanen
VAI,Cnj,ii,madaabii,madaabii,X,Dub+Prt,Pos,madaabiiwiingibanen,<<madaabii>>wiingibanen
VAI,Cnj,ii,madaabii,madaabii,X,Neu,Neg,madaabiising,<<madaabii>>sing
VAI,Cnj,ii,madaabii,madaabii,X,Neu,Pos,madaabiing,<<madaabii>>ng
VAI,Cnj,ii,madaabii,madaabii,X,Prt,Neg,madaabiisingiban,<<madaabii>>singiban
VAI,Cnj,ii,madaabii,madaabii,X,Prt,Pos,madaabiingiban,<<madaabii>>ngiban
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Dub,Neg,minongwaanziiwaanen,<<minongwaan>>ziiwaanen
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Dub,Pos,minongwaamowaanen,<<minongwaam>>owaanen
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Dub+Prt,Neg,minongwaanziiwaambaanen,<<minongwaan>>ziiwaambaanen
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Dub+Prt,Pos,minongwaamowaambaanen,<<minongwaam>>owaambaanen
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Neu,Neg,minongwaanziwaan,<<minongwaan>>ziwaan
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Neu,Pos,minongwaamaan,<<minongwaam>>aan
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Prt,Neg,minongwaanziwaambaan,<<minongwaan>>ziwaambaan
VAI,Cnj,m,minongwaam,minongwaam,1Sg,Prt,Pos,minongwaamaambaan,<<minongwaam>>aambaan
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Dub,Neg,minongwaanziiwegwen,<<minongwaan>>ziiwegwen
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Dub,Pos,minongwaamowegwen,<<minongwaam>>owegwen
VAI,Cnj,m,minongwaam,minongwaam,2Pl,Dub+Prt,Neg,minongwaanziiwegibanen,<<minongwaan>>ziiwegibanen
