Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTI,Cnj,am,waabandam,waaband,2Pl,0Sg/0Pl,Dub+Prt,Neg,waabandanziiwegibanen,<<waaband>>anziiwegibanen,JDN-PC,waabandanziiwegobanen,<<waaband>>anziiwegobanen,JDN-PC
VTI,Cnj,am,waabandam,waaband,2Pl,0Sg/0Pl,Dub+Prt,Pos,waabandamowegibanen,<<waaband>>amowegibanen,JDN-PC,waabandamowegobanen,<<waaband>>amowegobanen,JDN-PC
VTI,Cnj,am,waabandam,waaband,2Pl,0Sg/0Pl,Neu,Neg,waabandanziweg,<<waaband>>anziweg,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Pl,0Sg/0Pl,Neu,Pos,waabandameg,<<waaband>>ameg,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Pl,0Sg/0Pl,Prt,Neg,waabandanziwegiban,<<waaband>>anziwegiban,JDN-PC,waabandanziwegoban,<<waaband>>anziwegoban,JDN-PC
VTI,Cnj,am,waabandam,waaband,2Pl,0Sg/0Pl,Prt,Pos,waabandamegiban,<<waaband>>amegiban,JDN-PC,waabandamegoban,<<waaband>>amegoban,JDN-PC
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Dub,Neg,wanitoosiiwegwen,<<wanit>>oosiiwegwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Dub,Pos,wanitoowegwen,<<wanit>>oowegwen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Dub+Prt,Neg,wanitoosiiwegibanen,<<wanit>>oosiiwegibanen,JDN-PC,wanitoosiiwegobanen,<<wanit>>oosiiwegobanen,JDN-PC
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Dub+Prt,Pos,wanitoowegibanen,<<wanit>>oowegibanen,JDN-PC,wanitoowegobanen,<<wanit>>oowegobanen,JDN-PC
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Neu,Neg,wanitoosiweg,<<wanit>>oosiweg,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Neu,Pos,wanitooyeg,<<wanit>>ooyeg,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Prt,Neg,wanitoosiwegiban,<<wanit>>oosiwegiban,JDN-PC,wanitoosiwegoban,<<wanit>>oosiwegoban,JDN-PC
VTI,Cnj,oo,wanitoon,wanit,2Pl,0Sg/0Pl,Prt,Pos,wanitooyegiban,<<wanit>>ooyegiban,JDN-PC,wanitooyegoban,<<wanit>>ooyegoban,JDN-PC
VTI,Cnj,aa,ayaan,ayaa,2Sg,0Sg/0Pl,Neu,Neg,ayaanziwan,<<ayaa>>nziwan,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,2Sg,0Sg/0Pl,Neu,Pos,ayaamaang,<<ayaa>>maang,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Dub,Neg,miijisiiwanen,<<miiji>>siiwanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Dub,Pos,miijiwanen,<<miiji>>wanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Dub+Prt,Neg,miijisiiwambanen,<<miiji>>siiwambanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Dub+Prt,Pos,miijiwambanen,<<miiji>>wambanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Neu,Neg,miijisiwan,<<miiji>>siwan,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Neu,Pos,miijiyan,<<miiji>>yan,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Prt,Neg,miijisiwamban,<<miiji>>siwamban,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,2Sg,0Sg/0Pl,Prt,Pos,miijiyamban,<<miiji>>yamban,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Dub,Neg,waabandanziiwanen,<<waaband>>anziiwanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Dub,Pos,waabandamowanen,<<waaband>>amowanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Dub+Prt,Neg,waabandanziiwambanen,<<waaband>>anziiwambanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Dub+Prt,Pos,waabandamowambanen,<<waaband>>amowambanen,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Neu,Neg,waabandanziwan,<<waaband>>anziwan,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Neu,Pos,waabandaman,<<waaband>>aman,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Prt,Neg,waabandanziwamban,<<waaband>>anziwamban,JDN-PC,,,
VTI,Cnj,am,waabandam,waaband,2Sg,0Sg/0Pl,Prt,Pos,waabandamamban,<<waaband>>amamban,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Dub,Neg,wanitoosiiwanen,<<wanit>>oosiiwanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Dub,Pos,wanitoowanen,<<wanit>>oowanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Dub+Prt,Neg,wanitoosiiwambanen,<<wanit>>oosiiwambanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Dub+Prt,Pos,wanitoowambanen,<<wanit>>oowambanen,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Neu,Neg,wanitoosiwan,<<wanit>>oosiwan,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Neu,Pos,wanitooyan,<<wanit>>ooyan,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Prt,Neg,wanitoosiwamban,<<wanit>>oosiwamban,JDN-PC,,,
VTI,Cnj,oo,wanitoon,wanit,2Sg,0Sg/0Pl,Prt,Pos,wanitooyamban,<<wanit>>ooyamban,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,3PlProx,0Sg/0Pl,Neu,Neg,ayaanzigwaa,<<ayaa>>nzigwaa,JDN-PC,,,
VTI,Cnj,aa,ayaan,ayaa,3PlProx,0Sg/0Pl,Neu,Pos,ayaangwaa,<<ayaa>>ngwaa,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Dub,Neg,miijisiiwaagwen,<<miiji>>siiwaagwen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Dub,Pos,miijiwaagwen,<<miiji>>waagwen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Dub+Prt,Neg,miijisiiwaagobanen,<<miiji>>siiwaagobanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Dub+Prt,Pos,miijiwaagobanen,<<miiji>>waagobanen,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Neu,Neg,miijisigwaa,<<miiji>>sigwaa,JDN-PC,,,
VTI,Cnj,in,miijin,miiji,3PlProx,0Sg/0Pl,Neu,Pos,miijiwaad,<<miiji>>waad,JDN-PC,,,
