Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTA,Imp,aw,mikaw,mikaw,2Pl,1Sg,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,1Sg,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,3SgObv/3PlObv,Prb,NA,ganawaabamimaakegon,<<ganawaabam>>imaakegon,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Pl,3SgProx/3PlProx,Prb,NA,ganawaabamaakegon,<<ganawaabam>>aakegon,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Pl,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Pl,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Pl,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Pl,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg,1Sg,Prb,NA,ganawaabamishiken,<<ganawaabam>>i1shiken,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg,1Sg,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Sg,1Sg,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg,1Sg,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg,1Sg,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg,3SgObv/3PlObv,Prb,NA,ganawaabamimaaken,<<ganawaabam>>imaaken,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Sg,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg,3SgProx/3PlProx,Prb,NA,ganawaabamaaken,<<ganawaabam>>aaken,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Sg,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg,3SgProx/3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,2Sg/2Pl,Excl,Prb,NA,ganawaabamishikaangen,<<ganawaabam>>i1shikaangen,JDN-PC,,,,,,
VTA,Imp,S,mawadish,mawadis,2Sg/2Pl,Excl,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,2Sg/2Pl,Excl,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,2Sg/2Pl,Excl,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,2Sg/2Pl,Excl,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,Incl,3PlProx,Prb,NA,ganawaabamaasiwaadaanig,<<ganawaabam>>aasiwaadaanig,JDN-PC,ganawaabamaasiidaanig,<<ganawaabam>>aasiidaanig,JDN-PC,,,
VTA,Imp,S,mawadish,mawadis,Incl,3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,Incl,3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,Incl,3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,Incl,3PlProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,Incl,3SgObv/3PlObv,Prb,NA,ganawaabamimaasiwaadaa,<<ganawaabam>>imaasiwaadaa,GUESS,,,,,,
VTA,Imp,S,mawadish,mawadis,Incl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,Incl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,Incl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,Incl,3SgObv/3PlObv,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Regular,ganawaabam,ganawaabam,Incl,3SgProx,Prb,NA,ganawaabamaasiwaadaa,<<ganawaabam>>aasiwaadaa,JDN-PC,ganawaabamaasiidaa,<<ganawaabam>>aasiidaa,JDN-PC,,,
VTA,Imp,S,mawadish,mawadis,Incl,3SgProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,N,miizh,miin,Incl,3SgProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,aw,mikaw,mikaw,Incl,3SgProx,Prb,NA,MISSING,,,,,,,,
VTA,Imp,Cw,mizho,mizhw,Incl,3SgProx,Prb,NA,MISSING,,,,,,,,
